<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20190628;000000;238.5500000
SBER;D;20190701;000000;242.9800000
SBER;D;20190702;000000;241.2000000
SBER;D;20190703;000000;241.5100000
SBER;D;20190704;000000;242.8200000
SBER;D;20190705;000000;242.8300000
SBER;D;20190708;000000;243.3000000
SBER;D;20190709;000000;242.7400000
SBER;D;20190710;000000;243.7600000
SBER;D;20190711;000000;241.3000000
SBER;D;20190712;000000;237.0200000
SBER;D;20190715;000000;235.2700000
SBER;D;20190716;000000;234.7500000
SBER;D;20190717;000000;234.6300000
SBER;D;20190718;000000;234.7800000
SBER;D;20190719;000000;232.8500000
SBER;D;20190722;000000;230.3500000
SBER;D;20190723;000000;232.4800000
SBER;D;20190724;000000;230.6500000
SBER;D;20190725;000000;232.9000000
SBER;D;20190726;000000;230.5500000
SBER;D;20190729;000000;232.8000000
SBER;D;20190730;000000;236.0000000
SBER;D;20190731;000000;233.4900000
SBER;D;20190801;000000;229.5000000
SBER;D;20190802;000000;220.8100000
SBER;D;20190805;000000;222.2400000
SBER;D;20190806;000000;226.0100000
SBER;D;20190807;000000;222.2500000
SBER;D;20190808;000000;223.9300000
SBER;D;20190809;000000;220.6700000
SBER;D;20190812;000000;222.3000000
SBER;D;20190813;000000;223.1800000
SBER;D;20190814;000000;217.1100000
SBER;D;20190815;000000;214.5900000
SBER;D;20190816;000000;215.0500000
SBER;D;20190819;000000;217.4000000
SBER;D;20190820;000000;216.0000000
SBER;D;20190821;000000;218.6200000
SBER;D;20190822;000000;219.5000000
SBER;D;20190823;000000;219.5000000
SBER;D;20190826;000000;218.5000000
SBER;D;20190827;000000;217.8900000
SBER;D;20190828;000000;218.3000000
SBER;D;20190829;000000;221.5000000
SBER;D;20190830;000000;224.2000000
SBER;D;20190902;000000;226.6800000
SBER;D;20190903;000000;224.0000000
SBER;D;20190904;000000;227.1000000
SBER;D;20190905;000000;230.7900000
SBER;D;20190906;000000;229.0200000
SBER;D;20190909;000000;229.0000000
SBER;D;20190910;000000;233.3000000
SBER;D;20190911;000000;234.7200000
SBER;D;20190912;000000;234.5700000
SBER;D;20190913;000000;233.0000000
SBER;D;20190916;000000;235.3200000
SBER;D;20190917;000000;235.8900000
SBER;D;20190918;000000;235.3000000
SBER;D;20190919;000000;234.9800000
SBER;D;20190920;000000;232.0000000
SBER;D;20190923;000000;229.7000000
SBER;D;20190924;000000;227.5000000
SBER;D;20190925;000000;228.0900000
SBER;D;20190926;000000;229.0900000
SBER;D;20190927;000000;228.0500000
SBER;D;20190930;000000;227.7100000
SBER;D;20191001;000000;226.4900000
SBER;D;20191002;000000;223.5000000
SBER;D;20191003;000000;224.0800000
SBER;D;20191004;000000;222.7600000
SBER;D;20191007;000000;227.5500000
SBER;D;20191008;000000;226.0300000
SBER;D;20191009;000000;227.7000000
SBER;D;20191010;000000;228.5000000
SBER;D;20191011;000000;230.3100000
SBER;D;20191014;000000;228.4000000
SBER;D;20191015;000000;229.4000000
SBER;D;20191016;000000;231.0000000
SBER;D;20191017;000000;233.5000000
SBER;D;20191018;000000;235.5500000
SBER;D;20191021;000000;234.9400000
SBER;D;20191022;000000;239.7700000
